actuate	composite	0	3	1	1	6	6	3	3	3	1	2.7
actuate	construction	0	5	6	4	6	8	2	3	4	3	4.1
actuate	excavate	0	2	4	3	8	8	5	5	6	3	4.4
actuate	force	2	5	8	6	10	9	9	8	3	6	6.6
actuate	fuel_rod	0	9	4	4	8	2	1	4	5	1	3.8
actuate	geological	0	2	1	1	1	6	1	6	2	1	2.1
actuate	layer	0	2	6	3	0	5	4	8	3	1	3.2
actuate	material	0	5	4	3	6	5	6	0	6	2	3.7
actuate	mining	0	2	2	6	8	5	3	7	7	2	4.2
actuate	neutron_flux	4	8	3	3	6	1	5	8	6	2	4.6
actuate	nuclear	0	8	9	6	7	2	3	9	9	2	5.5
actuate	oilfield	0	2	8	6	6	5	2	8	4	2	4.3
actuate	polymer	0	4	1	2	8	4	3	6	3	2	3.3
actuate	reactor_core	2	9	9	5	9	7	4	10	7	1	6.3
actuate	reinforce	0	6	7	5	9	7	2	3	2	1	4.2
actuate	rigidity	0	1	6	2	0	8	3	7	4	3	3.4
actuate	structure	0	1	7	2	6	9	3	4	1	5	3.8
composite	construction	6	7	6	7	9	6	9	10	9	6	7.5
composite	layer	10	8	9	2	6	8	10	10	8	8	7.9
composite	polymer	10	10	9	8	9	8	8	10	9	9	9.0
composite	reinforce	5	3	8	0	8	7	9	10	8	5	6.3
composite	rigidity	3	8	9	3	8	7	9	9	8	7	7.1
composite	structure	10	10	10	9	9	7	10	10	10	6	9.1
computer	actuate	0	2	9	4	9	8	2	8	7	6	5.5
computer	composite	0	4	0	0	8	4	5	9	4	4	3.8
computer	construction	0	8	1	3	7	7	8	8	8	2	5.2
computer	excavate	0	1	1	2	3	6	3	4	5	1	2.6
computer	execute	5	9	8	6	8	8	1	9	9	10	7.3
computer	force	0	6	2	1	0	4	4	8	9	1	3.5
computer	fuel_rod	0	1	8	0	6	3	4	0	3	1	2.6
computer	geological	0	1	3	0	6	7	2	8	9	5	4.1
computer	layer	2	8	8	3	7	8	7	9	3	5	6.0
computer	material	0	7	8	1	9	5	3	6	7	3	4.9
computer	mechanical	0	9	6	3	7	8	4	4	8	1	5.0
computer	mining	5	10	9	6	8	8	8	8	9	1	7.2
computer	neutron_flux	3	2	2	3	6	4	8	6	4	0	3.8
computer	nuclear	0	6	2	0	6	7	3	5	8	3	4.0
computer	oilfield	0	1	3	0	7	3	3	4	4	2	2.7
computer	polymer	0	1	6	0	7	6	2	4	6	5	3.7
computer	reactor_core	0	3	1	0	9	5	5	9	7	1	4.0
computer	reinforce	0	7	7	6	6	7	2	8	8	1	5.2
computer	rigidity	0	4	9	0	6	6	2	2	8	1	3.8
computer	structure	3	9	6	1	7	8	7	8	9	3	6.1
computer	thermal	0	4	10	1	6	7	2	7	7	6	5.0
excavate	composite	0	5	3	2	5	6	2	3	4	2	3.2
excavate	construction	10	6	9	6	9	8	8	10	10	8	8.4
excavate	fuel_rod	1	1	3	3	0	1	4	5	4	0	2.2
excavate	geological	0	10	10	7	9	8	8	10	9	7	7.8
excavate	layer	0	8	8	3	8	7	7	9	8	4	6.2
excavate	material	5	8	7	3	9	6	5	9	8	6	6.6
excavate	neutron_flux	0	2	4	3	0	2	2	0	0	0	1.3
excavate	nuclear	0	6	7	3	3	5	2	2	6	0	3.4
excavate	oilfield	0	10	9	8	9	8	6	9	2	6	6.7
excavate	polymer	0	9	3	3	0	3	2	2	3	1	2.6
excavate	reactor_core	0	1	7	6	2	2	3	1	3	1	2.6
excavate	reinforce	0	4	1	2	6	8	2	4	6	5	3.8
excavate	rigidity	0	2	1	1	9	6	3	7	6	3	3.8
excavate	structure	0	5	9	2	6	8	7	7	9	6	5.9
